Text,Difficulty
"S’il y a des nuages avec de la pluie sur la carte, c’est qu’il va pleuvoir et qu’il y a des risques de tempête ou de grêle",B1
"Si de la pluie tombe alors qu’il y a du soleil, vous pourrez sans doute observer un arc-en-ciel",B1
"Quand il y a des nuages avec de la neige qui tombe, c’est qu’il va neiger et qu’il peut y avoir du brouillard, des risques de congélation, de la glace et que la température sera très basse",B1
"Lorsqu’il y a un éclair avec des nuages et de la pluie, il risque d’y avoir de la foudre et du tonnerre",B1
La tour Eiffel est le symbole de la ville de Paris,B1
Elle a été construite par Gustave Eiffel pour l’Exposition universelle de Paris de 1889,B1
La tour Eiffel mesure exactement 312 mètres de hauteur,B1
"Lorsqu’elle a été construite, la tour Eiffel était le monument le plus élevé du monde (elle l’est restée pendant quarante ans)",B1
"C’est un site touristique très important, environ 7 millions de touristes visitent la tour Eiffel chaque année",B1
"Au total, on estime que depuis sa construction plus de 300 millions de personnes ont visité la tour Eiffel",B1
"Du haut de la Tour Eiffel, on peut voir les principaux monuments de Paris",B1
"la cathédrale Notre-Dame, la tour Montparnasse et l’arc de triomphe",B1
On peut voir aussi le fleuve qui traverse la capitale,B1
La tour Eiffel est située sur le Champ-de-Mars,B1
C’est un parc où les gens viennent se promener en famille et entre amis,B1
"Tout en haut de la tour Eiffel, il y a des antennes qui émettent les programmes de radio et de télévision",B1
Il y a même des restaurants,A2
"Le corps humain comprend une tête, un tronc et quatre membres",B1
La tête se compose du visage et du crâne qui est recouvert de cheveux,B1
"Le visage comprend une oreille de chaque côté, deux yeux surmontés par les sourcils et un nez au centre",B1
"Puis, viennent la bouche et le menton",B1
Les dents se trouvent dans la bouche,B1
Le tronc est relié à la tête par le cou,B1
Il se compose du thorax et de l'abdomen encore appelé ventre,B1
La poitrine contient les deux poumons et le cœur,B1
Le ventre se trouve à la partie inférieure du tronc,B1
"Il renferme le foie, l’estomac, les reins et les intestins",B1
Ce sont des organes internes comme le cerveau qui est logé dans la tête,B1
Le dos forme la partie arrière du tronc,B1
Les membres sont au nombre de quatre,B1
"Un membre supérieur comprend un bras, un avant-bras et une main munie de cinq doigts",B1
Le bras est relié au tronc par l’épaule et à l’avant-bras par le coude,B1
"Un membre inférieur comprend une cuisse, une jambe et un pied qui a cinq orteils",B1
"Les articulations sont en haut la hanche, au milieu le genou en en bas la cheville",B1
Les vacances d'été en France durent 6 semaines et ont habituellement lieu entre Juillet et Septembre,B1
"En France, le début des vacances est souligné par les soldes d'été",B1
Il faut savoir que les étudiants comme les travailleurs attendent ces vacances avec impatiente,B1
La majorité des Français ne restent pas dans leur région durant les vacances d'été,B1
"Le sud du pays, l'Italie ou l'Espagne sont notamment les destinations touristiques les plus prisées des vacanciers en raison du climat perpétuellement froid dans le nord du pays",B1
"Toutefois, certaines personnes ne disposent pas d'un budget spécial pour financer ce type de détente",B1
Ils préfèrent alors rester à la maison et profitent du temps libre pour visiter leurs familles ou se balader en ville,B1
"Pour aller au travail, Marc porte une veste, un pantalon, une chemise et une belle cravate rouge",B1
Ses amis trouvent qu’il est très élégant avec son bracelet-montre doré et ses chaussures noires,B1
"Quand il doit rencontrer un client important, Marc n’hésite pas à s’habiller sobrement",B1
Il met son plus beau costume et son chapeau,B1
Il se sent plus à l’aise avec une tenue vestimentaire classique,B1
Sa secrétaire Lili porte des lunettes,A2
Elle adore mettre sa jupe à fleurs et un chemisier assorti lorsqu’il fait beau,B1
"En hiver, elle ne sort jamais sans son parapluie et son écharpe",B1
"Elle préfère aussi mettre un pull, des chaussettes en laine, des bottes et ses gants pour ne pas avoir froid aux doigts",B1
"Parfois, elle exhibe un joli collier en perles autour du cou qui lui donne une allure très attrayante",B1
"En été, lorsqu’il fait chaud, Lili et Marc vont à plage pendant le weekend",B1
"Ils mettent des lunettes de soleil, une belle casquette, un T-shirt, des shorts et des sandales",B1
Ils aiment passer des journées ensemble au bord de la mer,B1
"Je t’écris de France, où je vis avec ma famille depuis deux mois",B1
"Nous allons bien, nous habitons dans une petite maison ancienne avec un très beau jardin",B1
Nous avons de nouveaux amis et nous avons rencontré nos voisins lors d’une soirée festive la semaine dernière,B1
"J’ai fait de gros progrès en français, je le comprends et je sais le parler et l’écrire bien mieux maintenant",B1
Je suis dentiste dans un nouveau cabinet depuis une semaine et j’aime mon travail,B1
Mes collègues sont gentils et m'ont bien accueillie,B1
"Comme c'est proche de la maison, je peux y aller à pied, c’est très agréable",B1
Mon mari a enfin trouvé une place d’architecte et travaille sur un important projet d’immeuble avec son équipe,B1
"Les enfants travaillent bien à l’école, même si ma fille a quelques difficultés en mathématiques",B1
"Mon fils a de bonnes notes en français, c’est sa matière préférée",B1
"Il aime beaucoup lire, surtout le soir avant de dormir",B1
Ils se sont fait des copains et sont heureux de vivre en France,B1
Ils parlent encore mieux le français que nous,B1
Est-ce que ton mari et tes enfants vont bien,B1
Je suis heureuse de vous revoir le mois prochain,B1
Nous passerons les fêtes de Noël ensemble,B1
La fête de Pâques en France est une fête de tradition catholique,B1
Elle était selon la tradition précédée d’une période de jeûne de 40 jours appelée « Carême »,B1
"Durant cette période, les chrétiens ne mangeaient pas de viande, ni de plat très cher",B1
"Ils mangent plus simplement, en évitant les sucreries et les petits plaisirs",B1
"Il essaient également d’être plus raisonnés, plus généreux, moins centrés sur eux-mêmes",B1
Le jour de Pâques est le jour de la résurrection du Christ,B1
"Pour célébrer cet évènement exceptionnel, tous se réunissent et se retrouvent autours d’un copieux repas contenant de l’agneau (symbole de l’innoncence Du Christ)",B1
"Cette fête est encore traditionnellement fêtée en France, même si, comme pour Noël, elle a souvent perdu son aspect religieux",B1
La majorité des Français fête Pâques et considère cette date comme une occasion de se retrouver en famille pour partager un bon repas,B1
Les enfants aussi attendent avec impatience cette échéance,B1
"Ces chocolats, coulés en forme d’œufs, de lapins et de poules, sont souvent dispersés dans le jardin pour être retrouvés par les plus jeunes",B1
Je n'ai qu'un jour pour visiter Paris,B1
"Je suis l'itinéraire donné par Pierre, un ami français",B1
Je commence par un petit-déjeuner dans un café près de l'Arc de Triomphe avec des croissants délicieux,B1
"Après une marche sur les Champs-Élysées, je suis au pied de la Tour Eiffel",B1
Il y a beaucoup d'attente pour les ascenseurs (pour monter les étages) mais je suis enfin au sommet et peux apprécier la vue sur Paris,B1
"L'après-midi je me promène aux Tuileries, paradis de verdure au cœur de la capitale",B1
Je suis fatiguée et préfère prendre le métro pour aller à l'Île de la Cité,B1
"En visitant la cathédrale Notre-Dame de Paris je pense à Quasimodo, personnage du roman de Victor Hugo",B1
"Encore le métro, et je contemple la splendide façade de l'Opéra Garnier",B1
C'est le quartier des beaux magasins et des produits de grandes marques,B1
Je termine à Montmartre avec sa basilique et ses ruelles (petites rues),B1
"Après l'ambiance de luxe, ici c'est comme un tranquille village",B1
Je vais choisir un restaurant pour savourer un bon repas après cette journée bien remplie,B1
Je suis actuellement en vacances en Alsace,B1
Il fait très froid ici,A2
Hier il a même neigé,A2
"Aujourd'hui, avec ma famille (mes parents et mon frère) nous sommes allés au marché de Noël, c'était vraiment incroyable",B1
Ma mère m'a exceptionnellement laissé boire du vin chaud même si je n'ai normalement pas le droit,B1
"Dans ma famille, on adore goûter les spécialités locales alors on a tout essayé, de la choucroute à la tarte flambée en passant par les kouglofs",B1
Félix n'arrête pas de manger des bredele (des biscuits spéciaux d’ici),B1
C'est vrai qu'ils sont très bons mais j'ai peur qu'il tombe malade,B1
"Demain, on prévoit de faire une promenade dans le quartier de la Petite France, il paraît que c'est le plus beau de Strasbourg",B1
Je t'aurais bien envoyé une photo mais nous n'avons pas d'appareil,B1
"Mes parents ont insisté pour qu'on prenne nos chaussures de marche, ils veulent qu'on aille faire des randonnées dans les montagnes",B1
J'espère que tu vas bien et que tes vacances au ski se passent bien aussi,B1
"On se reverra à la rentrée, j'ai hâte de te raconter le reste de mon voyage",B1
"Jason, touriste américain, est en vacances en Provence et vient à Marseille une journée",B1
Il passe la matinée au Mucem qui est un musée récent et très connu,B1
Son architecture moderne s'associe très bien avec la mer toute proche et l'ancien Fort Saint-Jean,B1
Il fait une promenade sur le Vieux Port,B1
Il y a des marchands de poissons et c'est le départ de nombreux bateaux,B1
À midi il prend un sandwich dans un café,B1
Il n'est pas fatigué et décide de marcher jusqu'à Notre Dame de la Garde,B1
Cette basilique est célèbre à Marseille,B1
Du haut de cette colline la vue sur Marseille est remarquable,B1
"Maintenant Jason veut voir les plages du Prado, longues de plusieurs kilomètres",B1
"Après un trajet en bus, il est heureux de retrouver la mer",B1
Il enlève (ne garde pas) ses chaussures et marche longtemps au bord de l'eau,B1
La plage est pleine de Marseillais et de touristes,B1
"C'est vraiment génial d'être en ville et d'avoir les monuments, les musées et la plage au même endroit",B1
Jason a très faim et cherche un restaurant,B1
Il finit sa visite devant une assiette de bouillabaisse,B1
"C'est une soupe de poissons, spécialité de Marseille",B1
La secrétaire est restée au bureau toute la journée,B1
Son supérieur hiérarchique ne se plaint jamais d’elle,B1
Elle ne manque pas de dynamisme,B1
"Elle a remis de l’ordre sur son bureau, elle a envoyé des fax et répondu au courrier",B1
Elle a pris plusieurs rendez-vous pour le directeur,B1
Elle a préparé les photocopies pour les participants à la réunion de l’après-midi,B1
"Elle a remis des dossiers au chef du personnel, elle a rempli des formulaires et elle a rédigé plusieurs commentaires sur son rapport hebdomadaire",B1
"Enfin, elle s’est occupée du nouveau stagiaire et elle lui a expliqué le fonctionnement de l’entreprise ainsi que le règlement intérieur",B1
Quentin Danton et Vivien Bontemps vivent en province près de Valencienne,B1
"Habitant dans la même région, ils vont souvent boire un verre en ville",B1
"Vendredi soir, Vivien est venu voir Quentin avec une bonne bouteille de vin blanc",B1
"C’est son péché mignon ça, boire un bon verre de vin blanc",B1
"Mais, ce soir-là, Quentin était sorti",B1
"Il avait pris sa belle valise verte qu’il trimballe depuis vingt ans, pour passer cinq jours de vacances près de Vannes chez sa vieille amie Sylvaine qu’il voyait beaucoup avant de vivre à Valencienne",B1
Vivien était déçu,B1
Il a repris sa voiture et il est rentré chez lui pour boire son verre de vin blanc en prenant un bon bain bien chaud,B1
Vivre à la campagne a beaucoup d’avantages,B1
Il n’y a presque pas de pollution,B1
Il n’y a pas beaucoup de voitures donc il n’y a pas d’embouteillage,B1
"La vie est plus saine, l’air est pur et la vie est moins chère qu’en ville",B1
Il y a aussi beaucoup d’avantages à vivre en ville,B1
"il y a du travail, des théâtres, des cinémas, la vie culturelle est riche",B1
"En ville, il y a des magasins, on peut rencontrer facilement d’autres personnes et c’est en ville qu’on trouve les meilleures écoles pour ses enfants",B1
"Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche",B2
"Avec la chaleur estivale, cette journée d’exploration se révèle très fatigante",B2
"Ce matin, James s’est levé tôt, a loué un vélo et a parcouru les rues de Lyon",B2
"Il a longé les quais de la Saône, traversé la presqu’île, puis rejoint les quais du Rhône",B2
"En chemin, il a pu admirer la magnifique fontaine Bartholdi sur la grande Place des Terreaux",B2
"Il s’est également arrêté dans une boulangerie où il a longuement hésité entre un pain au chocolat, un croissant, et une brioche aux pralines, pâtisserie typiquement lyonnaise",B2
Il a finalement opté pour cette dernière,B2
James a ensuite rejoint le quartier moderne de la Confluence où le fleuve de la Saône se jette dans le Rhône,B2
Il s’apprête maintenant à prendre le funiculaire qui l’emmènera au sommet de la colline de Fourvière,B2
"Là, il pourra visiter la fameuse basilique Notre Dame de Fourvière et contempler la splendide vue panoramique sur la ville de Lyon depuis le belvédère",B2
"En redescendant à pied, il s’arrêtera pour visiter le plus ancien théâtre gallo-romain de France, puis ira dîner dans un bouchon lyonnais, restaurant typique de la ville",B2
Tous ces préparatifs rendent chaque année l’atmosphère festive et enjouée,B2
Il n’y a qu’à observer la métamorphose des rues commerçantes pour en être convaincu,B2
"Finies les façades grises et ternes, terminée la morosité ambiante",B2
"Les passants semblent moins pressés, et s’attardent plus facilement devant une devanture ou dans les rayons",B2
Les dernières semaines avant Noël se déroulent dans une ambiance joyeuse et féérique,B2
Le 24 décembre est le jour du réveillon,B2
"C’est l’occasion de fêter Noël en famille, en petit comité",B2
"Un sapin fraîchement coupé est installé dans la cuisine ou le salon, et décoré à l’aide de guirlandes colorées et de boules de noël",B2
"Les cadeaux seront déposés à son pied, le soir du 24 ou le 25 décembre au matin",B2
"Le repas est servi sur une table resplendissante, recouverte de bougies et de petits santons",B2
"Le lendemain, le 25 décembre, est le jour de Noël",B1
C’est un jour de fête où l’on invite la famille plus éloignée à partager le repas de midi,B2
C’est souvent un repas fastueux et long,B2
il n’est pas rare de sortir de table vers 16 ou 17heures,B2
"Un lundi, Franck et Guillaume, qui travaillaient tous les dimanches comme extras dans un autre restaurant sur l’avenue, se sont rendus au chevet de leur grand-mère",B2
Celle-ci résidait désormais dans une maison de convalescence à quelques kilomètres au nord de la ville et s’est mise à guetter leur arrivée dès que le jour s’est levé,B2
"Eux, par contre, ont dû régler leur réveil",B2
"Ils sont descendus comme des zombis jusqu’au troquet du coin, ont bu deux ou trois cafés d’affilée, ont enfourché leur moto et sont venus se rendormir auprès d’elle sur d’affreux fauteuils de skaï noir",B2
"Quand on lui a amené son plateau-repas, la vieille dame, l’index sur la bouche, a indiqué, d’un mouvement de la tête, les deux gros bébés enroulés sur eux-mêmes qui lui tenaient compagnie",B2
Elle était heureuse,A2
Ils étaient là,A1
"Rien qu’à elle… Elle n’a pas osé appeler les infirmières pour qu’elles remontent son lit, a saisi sa fourchette délicatement et a mangé en silence",B2
"Elle a mis dans sa table de nuit, un morceau de pain, quelques portions de fromage et quelques fruits pour les leur donner quand ils se réveilleraient",B2
"Ensuite, elle a repoussé la tablette tout doucement et s’est croisé les mains sur le ventre tout en souriant",B2
"Ses yeux se sont fermés et elle a somnolé, bercée par le souffle de ses petits hommes et les débordements du passé",B2
"Ils s’étaient perdus tant de fois déjà… Elle avait passé sa vie, lui semblait-il, à les chercher…",B2
"Au fond du jardin, dans les arbres, chez la voisine, cachés dans une étable ou affalés devant la télévision, puis au café bien sûr, et maintenant sur des petits bouts de papier où ils lui avaient griffoné des numéros de téléphone qui n’étaient jamais les bons",B2
On est le quatorze juillet - chouette,B1
"Mais qu'est-ce que cela veut dire, en fait ?",B2
Et pourquoi est-ce que ces gens créent un poème aussi beau ?,B2
"Le quatorze juillet est la fête nationale de la France, le jour où les Français commémorent la prise de la Bastille qui a eu lieu en 1789",B2
"Même si la Révolution française était déjà en cours, la prise symbolique de la Juillet forteresse, qui ne comptait que 7 prisonniers à l'époque, reste l'événement clé de la révolte",B2
"En fin de compte, la Révolution a conduit au remplacement de la monarchie absolue par une monarchie constitutionnelle, qui, à son tour, sera remplacée par la Première République",C1
"Plus de royauté, plus de société d'ordres, plus de privilèges",B2
La Déclaration des droits de l'homme et du citoyen est un texte fondamental de la Révolution,B2
"À Paris, tous les 14 juillet, on organise un défilé militaire",B1
Des troupes armées étrangères sont parfois invitées à défiler aux côtés des armées françaises,B2
"La parade descend l'avenue Champs-Élysées, de la place de l'Étoile, alias place Charles-de-Gaulle, jusqu'à la place de la Concorde",B2
"Les militaires y saluent le Président de la République, son gouvernement, les principales autorités de l'État, le corps diplomatique ainsi que des personnalités politiques étrangères invitées pour l'occasion",B2
Des défilés sont également organisés dans d'autres villes de France avec des régiments locaux,B2
Comment bien faire sa valise qui tienne dans une cabine d'avion,B2
"Vous n'avez pas l'angoisse de vous la faire voler, et dès que vous arrivez à destination, vous l'emportez avec vous, et voilà, c'est fini",B2
"C'est dix kilos, et c'est vraiment de taille réduite, mais on peut parfaitement faire une valise pour une dizaine de jours, facilement, dans un volume réduit comme celui-là",B2
"Savoir exactement quelle sera la météo, quelles seront les soirées où vous devrez être habillée",B2
"Choisir des couleurs qui s'harmonisent entre elles, c'est-à-dire un spectre de couleurs qui va bien ensemble mais qui ne soit pas trop nombreux",B2
"Vous pouvez aujourd'hui associer le fuschia avec l'orange, vous pouvez faire tout noir et blanc, ou bien vous pouvez jouer une base bleu marine avec deux couleurs en plus",B2
"Je déconseille le blanc, les harmonies de blanc et le côté ivoire",B2
"ça, ça va quand on est à la maison, mais tous les blancs, ça exige tellement d'entretien et de lessives que ça n'en vaut la peine",B2
Et des tenues qui peuvent se moduler les unes avec les autres,B2
"Par exemple, choisissez deux pantalons, deux robes, mais allez-y franco sur le haut",B2
"Et surtout, essayez de limiter les paires de chaussures",B2
"Moi, j'ai toujours de la peine avec ça, mais il faut essayer d'éviter d'avoir plus de deux paires de chaussures dans une valise, parce que c'est lourd, ça prend de la place",B2
"Une seule paire pour le jour et le soir, c'est difficile, mais essayez de ne pas prendre plus de deux paires",B2
"Des semelles compensées, parce que les semelles compensées, ça flatte toujours la silhouette",B2
"Ensuite, si vous avez par exemple choisi des couleurs unies, vers les bleu marine, ou vers les noirs, il est indispensable d'avoir des accessoires pour relooker la tenue",B2
"Par exemple, porter une robe noire avec un foulard de couleur vive, fuschia ou orange ou rouge ou vert, et deux jours après, vous remettez cette robe noire avec d'autres bijoux, un gros collier",B2
"Vous faites oublier le foulard, et vous donnez l'impression d'avoir une autre tenue",B2
"Les broches également, très pratiques aussi, en les accumulant, et les petits boléros par-dessus",B2
"Un boléro que vous pouvez recycler tant sur le pantalon que sur une jupe, que sur une robe",B2
"Pour terminer, n'oubliez pas le maquillage",B1
"C'est ça qui est très important parce que si vous êtes belle, vous êtes surtout lumineuse et rieuse, donc il faut que vous vous sentiez à votre avantage",B2
"Donc n'hésitez pas à prendre du fond de teint en petits contenants, si jamais votre fond de teint est un gros truc de 100ml",B2
"Donc vous le recyclez dans une petite boîte que vous achetez chez Muji, chez H&M ou ailleurs",B2
"Une valise que vous n'avez pas besoin de mettre dans la soute, c'est beaucoup de stress en moins",B2
Lucie a postulé pour travailler comme monitrice dans un camp de vacances international cet été,B2
"Le directeur du camp, Monsieur Duteil, lui a demandé de lui fournir des renseignements supplémentaires, ce qu'elle fait dans l'email qui suit l'attention que vous portez à ma candidature",B2
J'espère que les informations qui suivent vous convaincront de m'embaucher,B2
"J'ai grandi dans une famille binationale, mon père est français et ma mère vient du Royaume Uni, donc je suis parfaitement bilingue",B2
"J'ai également étudié l'espagnol au collège et au lycée, et bien que je ne considère pas que je le parle couramment, je peux tenir une conversation sans problème",B2
"Depuis que je suis toute petite, je voyage beaucoup",B1
"D'abord avec ma famille, lorsque nous rendions visite à nos proches ou quand nous partions en vacances, puis plus tard avec mes amis, j'ai visité plus d'une dizaine de pays, dont l'Espagne, la Grèce, le Canada et la Tunisie",B2
"J'adore découvrir de nouvelles cultures, et la possibilité de travailler dans un cadre multiculturel est l'un des aspects les plus passionnants de ce poste de monitrice",B2
"Je me demandais également combien de postes étaient encore disponibles, et quand je pourrais espérer savoir si j'étais prise afin de pouvoir m'organiser en conséquence",B2
"J'espère avoir répondu à vos questions, et dans l'attente de votre décision, je vous prie d'agréer, Monsieur, mes salutations distinguées",B2
"Des vacances mémorables pour leurs cinq ans ensemble, Laurence et Arnaud se sont organisé des vacances de rêve",B2
"Ils ont tout planifié six mois à l'avance, afin de bénéficier des tarifs les plus avantageux, ce qui leur a permis par exemple de réserver un hôtel quatre étoiles au lieu de trois",B2
"Le dernier soir, ils avaient réservé une table dans un des restaurants les plus romantiques de Florence, histoire de finir leur séjour en beauté",B2
"Le cadre était enchanteur, la nourriture exquise, et on ne pouvait rêver meilleure soirée pour clôturer des vacances idylliques",B2
"Mais Laurence ne s'attendait pas du tout à ce que, vers la fin du repas, Arnaud se lève soudainement et qu'il s'agenouille devant le restaurant tout entier qui s'était naturellement tourné vers eux",B2
"Heureusement pour lui, les larmes qui embuaient les yeux de Laurence reflétaient sa joie, tout comme son sourire radieux",B2
"Evidemment, elle a dit oui, bien que personne à part Arnaud n'ait pu l'entendre, tant l'émotion lui serrait la gorge",B2
"Ils auraient voulu que ces vacances ne finissent jamais, mais ils rentrés des souvenirs plein la tête",B2
"Ce que Laurence ne savait pas, c'est qu'Arnaud avait prévu de profiter de ce voyage pour la demander en mariage",B2
Salut tout le monde,A1
"Je suis sûre que vous mouriez tous d'envie de savoir comment ma rentrée s'était passée, et je me suis dit qu'une petite mise à jour s'imposait",B2
"Ça fait maintenant deux semaines que j'ai repris les cours, et je prends petit à petit mes marques",B2
"Bien qu'il m'arrive encore de me tromper de couloir ici ou là, dans l'ensemble, je me suis plutôt bien adaptée, et je dois avouer que j'adore mon nouveau lycée",B2
"Le bâtiment principal, qui vient d'être rénové, a l'air tout neuf et ils ont peint les mursen couleurs pastels",B2
C'est trop classe,B1
Je vous avais dit que j'avais un peu peur de ne pas être dans la même classe que mes meilleures amies,B2
"Eh ben, au final, c'est arrivé",B2
"Mais ne vous inquiétez pas pour moi, parce que dès le premier jour, j'ai rencontré une nouvelle fille, Samia, dont je suis vite devenue inséparable",B2
"On aime le même type de musique, on regarde les mêmes séries et même nos sacs sont de la même couleur",B2
"Ben là aussi, il y a du bon et du moins bon",B2
Commençons par le bof,B2
"Elle n'a vraiment pas l'air commode, et elle nous a déjà annoncé qu'on aurait un test à la fin du mois de septembre",B2
Ça promet,B1
"En revanche, j'ai carrément le béguin pour le prof de français",B2
"Il est trop mignon, et il arrive à rendre les leçons super intéressantes avec un peu d'humour au second degré",B2
Je sens que je vais faire des progrès cette année,B2
"Enfin, pour ce qui est de mon emploi du temps, bon, ce n'est pas le monde des licornes, mais encore une fois, ça aurait pu être bien pire",B2
"Et donc, deux semaines après la rentrée, je suis plutôt satisfaite de ce début d'année, et j'ai hâte de voir ce que la suite me réserve",B2
Les Américains ont bien de la chance,B1
"Avec son repas en famille autour de sa traditionnelle dinde farcie, Thanksgiving est considérée comme une fête aussi importante que Noël aux États-Unis et au Canada",B2
"Mais quelle est l'histoire de cette fête, que signifie-t-elle et pourquoi ne se célèbre-t-elle pas à la même date au Canada et aux États-Unis d'Amérique",B2
"En 1620, le Mayflower - un bateau venu d'Europe - accoste dans une zone inconnue qui deviendra beaucoup plus tard la ville de Plymouth dans le nord des États-Unis actuels",B2
À bord : des pèlerins appartenant à la secte des Puritains,B2
"Soumis à des persécutions en raison de leur confession protestante, ils espèrent pouvoir vivre leur foi librement",B2
"Mais ils sont arrivés en plein hiver, au mois de décembre 1620, et ne sont ni de grands agriculteurs ni de grands chasseurs",B2
"Au printemps 1621, la moitié de ces pèlerins sont morts",B2
"Quand le printemps arrive, les survivants comprennent qu'ils doivent se constituer des réserves pour survivre au prochain hiver",B2
C'est au premier temps de la colonisation du continent américain par les colons européens au XVIIe siècle qu'il faut remonter pour comprendre cette fête si particulière,B2
"Sans les Wampanoag, les pèlerins auraient sans doute tous péri, comme ce fut le cas de bien d'autres à l'époque",B2
"Le gouverneur de la colonie, William Bradford, décida alors de proclamer un jour de remerciement et d'action de grâce pour remercier Dieu de leur avoir donné une terre finalement si accueillante avec des indigènes si serviables",B2
"Les pèlerins partagèrent alors cette célébration avec leurs voisins indiens, et ceux-ci apportèrent alors des dindes à rôtir",C1
"Selon la légende, Thanksgiving, qui veut dire littéralement en anglais « merci pour le don », est née ce jour-là à l'aube du deuxième hiver en Amérique des colons du Mayflower en 1621",B2
"Pour d'autres, l'origine remonte à 1623",B2
"En raison de la sécheresse qui a réduit les récoltes, le même gouverneur Bradford proclame une journée de jeûne et de prière",B2
La pluie vient arroser les champs et sauve ainsi la colonie d'un grand malheur,B2
Bradford annonce alors un jour de remerciement à Dieu,B2
"Cette deuxième explication plus tardive semble avoir l'avantage pour certains de retirer les Amérindiens de l'équation, ce qui entache d'autant sa crédibilité",B2
"Ce qui est sûr, c'est que cette tradition ne s'est vraiment ancrée dans les coutumes américaines qu'en 1863, lorsque le président Lincoln désigne ce jour, le quatrième jeudi de novembre, comme une fête nationale",B2
"En fait, Thanksgiving est avant tout la survivance d'une vieille coutume païenne : la célébration de la fin des récoltes ou des vendanges que l'on retrouve sous différents noms dans toutes les cultures du monde",B2
"C'est pour ça qu'au Canada on célèbre Thanksgiving le second lundi d'octobre, date à laquelle les récoltes sont achevées, puisque étant plus au nord, l'hiver arrive ici plus vite",B2
"Aux États-Unis, on fêtera Thanksgiving le quatrième jeudi de novembre",B2
"La tradition nord-américaine veut qu'on se retrouve en famille pour manger une dinde farcie accompagnée d'une purée de pommes de terre, de patates douces, d'une gelée de canneberges et une tarte à la citrouille",B2
"D'ailleurs, les Américains qui mangent de la dinde sont si nombreux que cette journée est également appelée le jour de la dinde",B2
"Cette voix, tous les voyageurs la connaissent",B2
"Simone est comédienne, mais deux fois par mois, elle vient au siège de SNCF pour enregistrer ses annonces",B2
"Eh bien voilà, bienvenue dans mon studio",B1
"Déjà, Dominique, avec qui je travaille",B1
"Donc, lorsqu'il en a suffisamment, il m'appelle, et à ce moment-là, je viens faire une séance",B2
"Et j'ai toutes ces feuilles devant moi, et je parle",B2
"il y en a pour la téléphonie, pour les gares, pour l'intérieur des trains",B2
"Simone ne compte pas arrêter son activité, mais le jour où ça arrivera, SNCF a déjà numérisé sa voix pour pouvoir continuer de l'utiliser encore longtemps après",B2
"C'est un dialogue, ce genre de serveur vocal",B2
"Avec l'arrivée du numérique, le métier de Simone n'est plus le même que celui d'il y a 30 ans",B2
"La voix préfère en rire, et apprécie toujours autant son travail",B2
"Alors, il y a longtemps, on enregistrait les phrases dans leur globalité",B2
"Puis, l'informatique est arrivé et petit à petit, nous avons commencé à enregistrer effectivement des petites phrases, des groupes de mots, voire même des mots, qui ensuite sont collés les uns aux autres",B2
"Quand c'est sérieux, elle ne sourit pas, elle est sérieuse, mais là en l'occurrence, c'est plutôt convivial, on est plutôt proches des gens, on discute avec eux",B2
"Voie 3, le TGV à destination de Marseille Saint Charles va partir",B2
Prenez garde à la fermeture des portes,B2
Attention au départ,A2
SNCF vous souhaite un agréable voyage,A2
"Être voix de SNCF, c'est un travail au quotidien",B2
Simone doit exercer sa voix pour rester constante,B2
"Les cordes vocales, ce sont des muscles, hein, et donc, j'ai un entraînement quotidien parce qu'on doit être raccord avec des enregistrements qui ont quelquefois 10 voire 15 ans",B2
Je fais des exercices d'articulation,B2
"Généralement, quand j'arrive quelque part, sur le chemin, je dis",B2
"Elle sourit tout le temps, c'est un sourire qu'on entend dans les annonces",B2
"On a toujours l'impression qu'il y a quelqu'un à côté d'elle, qu'elle s'adresse à quelqu'un",B2
"Voilà, et alors donc je me cache parce que dans la rue, on me regarde, on me prend pour une folle, alors je mets ma main comme ça",B2
On a cette chance d'avoir Simone,B2
"C'est vrai que c'est quelque chose d'assez unique, hein, je crois qu'il n'y a pas d'autre entreprise ferroviaire, ou même dans le monde du transport, qui a l'équivalent",B2
"Pour lui, c'est l'identité sonore de l'entreprise",B2
Dominique apprécie de travailler avec Simone,A2
"Comme tous les soirs, c'est moi Monsieur Stopeleu pour vous présenter le journal Alsace, avec des nouvelles du Haut-Rhin, des nouvelles du Bas-Rhin des nouvelles aussi du bas du dos, tant qu'on y est",C1
"Mais soyons sérieux, nouvelles en bref : économie",C1
"Bon résultat de l'économie française ce mois-ci, plus quatre pour cent",C1
"Faut dire que si on enlève les résultats de l'Alsace, les autres départements, ils sont largement en déficit",C1
Soyons sérieux,B2
"Ça veut dire ""Sapeurs-Pompiers""",C1
"Faits divers, faits divers, alors qu'on est au printemps, faits divers alors qu'on est au printemps - ""d'hiver""",C1
Elle est connue mais ça fait toujours rigoler,C1
La petite fille de Habsheim-le-Haut qui avait disparu il y a trois jours a en fait été retrouvée saine et sauve par les pompiers,C1
"Ces derniers ont eu la bonne idée de faire les recherches à Habsheim-le-Bas, à 200 mètres plus loin",C1
"En fait, pour ceux qui sauraient pas, vous savez pourquoi il y a écrit S et P sur les voitures de pompiers ?",C1
"Non, ça veut dire ça brûle",B2
"Ah, ça fait toujours rigoler",C1
"Ah, ça c'est moins drôle : augmentation ce mois-ci encore du chômage en Alsace",C1
